CHI	BKN
LAC	LAL
BOS	CHA
PHI	MEM
ATL	GSW
HOU	NOP
DEN	ORL
BKN	NYK
TOR	WAS
DAL	UTA
MIN	SAC
OKC	DET
SAS	CLE
HOU	PHX
IND	CHI
ATL	NOP
BOS	PHI
TOR	LAL
MIA	MEM
DEN	DET
GSW	MIL
LAC	POR
IND	MIN
ORL	WAS
BOS	NYK
BKN	NOP
HOU	DAL
ATL	MEM
OKC	CHA
DEN	SAS
PHX	UTA
TOR	CHI
MIA	LAL
OKC	CLE
DAL	MIL
UTA	POR
LAC	PHX
SAC	DET
ORL	IND
BOS	MIN
NYK	MEM
ATL	CHI
NOP	PHI
MIL	CHA
DEN	SAS
GSW	WAS
LAC	HOU
CLE	TOR
BKN	LAL
OKC	PHI
UTA	SAC
GSW	HOU
PHX	WAS
POR	DET
CHA	ATL
DEN	BOS
CLE	NOP
ORL	MIL
NYK	TOR
DAL	SAS
MEM	IND
MIN	CHI
LAC	DET
POR	MIA
NYK	LAL
DAL	PHI
ORL	SAS
MEM	CHI
NOP	SAC
UTA	WAS
GSW	DEN
PHX	HOU
MIN	BKN
IND	LAC
TOR	ATL
CHA	LAL
UTA	OKC
PHX	MIA
POR	BOS
MIN	MIL
CHA	CLE
PHI	BKN
TOR	SAS
DET	LAC
CHI	ORL
NOP	NYK
HOU	IND
OKC	GSW
MEM	DAL
DEN	MIA
SAC	WAS
ATL	MIL
CLE	GSW
LAL	BOS
PHX	SAC
UTA	IND
DET	OKC
PHI	LAC
WAS	NOP
BKN	CHA
TOR	ORL
CHI	MEM
HOU	DEN
MIN	MIA
SAS	POR
DAL	NYK
LAL	UTA
WAS	DET
CHI	CLE
BOS	GSW
MIL	MEM
PHX	SAS
ATL	IND
NYK	NOP
MIA	BKN
CHA	POR
ORL	HOU
TOR	OKC
DAL	SAC
LAC	MIN
DET	CLE
BOS	CHI
PHI	GSW
IND	SAS
MIA	HOU
WAS	OKC
MIL	PHX
DEN	MEM
LAL	UTA
ATL	ORL
NYK	CHA
NOP	BKN
POR	LAC
SAC	MIN
CLE	CHI
IND	OKC
PHI	PHX
TOR	BKN
WAS	GSW
NYK	ATL
HOU	UTA
DAL	DET
SAS	MIA
LAC	MEM
POR	DEN
SAC	MIN
BOS	PHX
ORL	NOP
MIL	PHI
SAS	DET
CHI	CHA
DAL	LAL
ATL	MIA
BKN	BOS
CHA	CLE
HOU	LAC
OKC	WAS
POR	MEM
GSW	DEN
NYK	TOR
MIL	PHI
IND	DET
NOP	SAS
MIA	CHI
DAL	LAL
UTA	MIN
DEN	HOU
CHA	BOS
BKN	PHX
POR	MEM
WAS	CLE
ATL	MIL
ORL	IND
GSW	SAC
DET	ATL
ORL	LAL
PHI	OKC
WAS	SAS
NYK	PHX
TOR	CLE
MIA	CHI
MIN	UTA
NOP	LAC
DEN	MEM
SAC	DAL
BOS	OKC
CHA	MIL
IND	POR
TOR	BKN
HOU	MIN
GSW	DAL
CLE	ORL
PHI	ATL
WAS	LAL
BOS	CHA
NYK	CHI
MIA	SAS
MEM	POR
DEN	NOP
PHX	LAC
SAC	UTA
DET	DAL
IND	BKN
HOU	MIL
MIN	GSW
OKC	NOP
DEN	TOR
PHI	ATL
BOS	SAS
CLE	WAS
BKN	POR
MEM	ORL
CHI	MIL
PHX	UTA
LAL	SAC
CHA	DET
HOU	GSW
ATL	CHI
CLE	MIA
ORL	MEM
MIN	NOP
OKC	IND
DAL	WAS
UTA	TOR
LAC	DEN
MIL	BKN
BOS	POR
CHA	MIA
DAL	SAC
HOU	NYK
OKC	PHX
SAS	PHI
LAL	TOR
DET	ORL
WAS	IND
NOP	GSW
ATL	POR
CHI	PHI
MEM	NYK
UTA	SAS
LAL	DEN
CLE	PHX
DET	CHA
MIL	BKN
MIA	DAL
NOP	GSW
OKC	SAC
LAC	TOR
ORL	BOS
CLE	POR
MIN	MEM
MIL	WAS
ATL	PHX
IND	SAC
HOU	PHI
DEN	NYK
UTA	SAS
CHA	CHI
TOR	WAS
DAL	BKN
