"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-03-23","GSW","ATL","25:22",52,29,7,10,0.7,3,8,0.375,0.375,6,8,6,6,3,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4695138888888889,0.6388888888888888,0.725,2,0,0,0,0,36.20689655172414
"2018-10-16","GSW","OKC","36:37",80,32,6,11,0.5454545454545454,5,9,0.5555555555555556,0.5555555555555556,5,8,4,12,3,0.6666666666666666,0.6666666666666666,0.8,0.45,0.5024949999999999,0.675,0.7272727272727273,0,0,0,0,0,24.489795918367346
"2018-10-19","GSW","UTA","37:08",79,31,8,15,0.5333333333333333,5,9,0.5555555555555556,0.5555555555555556,0,2,14,15,0,0.125,0.125,1,0.375,0.47488749999999996,0.6458333333333334,0.6458333333333334,0,1,0.06666666666666667,0,0,32.94117647058824
"2018-10-21","GSW","DEN","39:13",83,30,4,7,0.5714285714285714,6,16,0.375,0.375,4,0,8,15,3,0,0,0.8333333333333334,0.6956521739130435,0.5421130434782608,0.5652173913043478,0.625,0,1,0.14285714285714285,0,0,29.213483146067414
"2018-10-22","GSW","PHX","29:40",68,29,5,5,1,6,13,0.46153846153846156,0.5,1,8,2,12,6,0.8,0.8,0.6666666666666666,0.7222222222222222,0.4992294117647059,0.7777777777777778,0.7631578947368421,0,0,0,0,0,29.333333333333332
"2018-10-24","GSW","WAS","31:35",74,51,4,8,0.5,11,16,0.6875,0.6875,10,4,4,15,18,0.5,0.5,0.45454545454545453,0.6666666666666666,0.5040104166666667,0.8541666666666666,0.9107142857142857,0,0,0,0,0,36.144578313253014
"2018-10-26","GSW","NYK","33:24",68,29,4,7,0.5714285714285714,6,11,0.5454545454545454,0.5454545454545454,3,4,4,12,6,0.5,0.5,0.6666666666666666,0.6111111111111112,0.5508361111111112,0.7222222222222222,0.7368421052631579,0,1,0.14285714285714285,0,0,30.555555555555557
"2018-10-28","GSW","BKN","36:16",78,35,4,11,0.36363636363636365,7,15,0.4666666666666667,0.5,6,4,4,15,6,0.5,0.5,0.7142857142857143,0.5769230769230769,0.541162,0.5576923076923077,0.603448275862069,0,1,0.09090909090909091,0,0,34.44444444444444
"2018-10-29","GSW","CHI","24:50",57,23,5,5,1,2,4,0.5,0.5,7,4,6,3,3,0.4,0.4,0.5,0.4444444444444444,0.5879166666666666,0.8888888888888888,0.9583333333333334,0,0,0,0,0,22.033898305084747
"2018-10-31","GSW","NOP","36:54",85,37,5,9,0.5555555555555556,7,11,0.6363636363636364,0.6363636363636364,6,4,6,12,9,0.4,0.4,0.5714285714285714,0.55,0.505035,0.775,0.8043478260869565,0,0,0,0,0,29.47368421052632
"2018-11-02","GSW","MIN","35:28",76,28,7,12,0.5833333333333334,4,12,0.3333333333333333,0.3333333333333333,2,6,8,6,6,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5064624999999999,0.5416666666666666,0.56,0,1,0.08333333333333333,0,0,33.333333333333336
"2018-11-05","GSW","MEM","32:04",64,19,3,11,0.2727272727272727,3,6,0.5,0.5,4,0,6,6,3,0,0,0.6666666666666666,0.35294117647058826,0.45705882352941174,0.4411764705882353,0.5,0,1,0.09090909090909091,0,0,31.506849315068493
"2018-11-08","GSW","MIL","26:06",57,10,5,10,0.5,0,4,0,0,0,6,4,0,0,0.6,0.6,0,0.2857142857142857,0.44366071428571424,0.35714285714285715,0.35714285714285715,0,0,0,0,0,24.242424242424242
"2018-12-01","GSW","DET","36:30",76,27,7,12,0.5833333333333334,3,9,0.3333333333333333,0.375,4,6,8,9,0,0.42857142857142855,0.42857142857142855,1,0.42857142857142855,0.4559325,0.5476190476190477,0.6136363636363636,0,0,0,0,0,34.523809523809526
"2018-12-03","GSW","ATL","29:06",63,30,4,7,0.5714285714285714,6,10,0.6,0.6,4,4,4,12,6,0.5,0.5,0.6666666666666666,0.5882352941176471,0.571764705882353,0.7647058823529411,0.7894736842105263,0,0,0,0,0,32.35294117647059
"2018-12-05","GSW","CLE","33:47",68,42,2,6,0.3333333333333333,9,14,0.6428571428571429,0.6428571428571429,11,4,0,9,18,1,1,0.3333333333333333,0.7,0.5443399999999999,0.775,0.84,0,0,0,0,0,36.486486486486484
"2018-12-07","GSW","MIL","35:37",78,20,3,8,0.375,4,9,0.4444444444444444,0.4444444444444444,2,4,2,9,3,0.6666666666666666,0.6666666666666666,0.75,0.5294117647058824,0.5521470588235294,0.5294117647058824,0.5555555555555556,0,0,0,0,0,24.41860465116279
"2018-12-10","GSW","MIN","35:45",80,38,5,9,0.5555555555555556,7,14,0.5,0.5,7,2,8,15,6,0.2,0.2,0.7142857142857143,0.6086956521739131,0.5064195652173913,0.6739130434782609,0.7307692307692307,0,1,0.1111111111111111,0,0,30.10752688172043
"2018-12-12","GSW","TOR","32:32",68,10,1,4,0.25,2,8,0.25,0.25,2,0,2,6,0,0,0,1,0.6666666666666666,0.5210708333333333,0.3333333333333333,0.38461538461538464,0,0,0,0,0,24.28571428571429
"2018-12-14","GSW","SAC","36:00",87,35,6,9,0.6666666666666666,5,14,0.35714285714285715,0.38461538461538464,8,6,6,15,0,0.5,0.5,1,0.6086956521739131,0.5535545454545455,0.5869565217391305,0.6481481481481481,0,0,0,0,0,28
"2018-12-17","GSW","MEM","35:02",72,20,3,7,0.42857142857142855,3,9,0.3333333333333333,0.3333333333333333,5,4,2,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5625,0.496571875,0.46875,0.5555555555555556,0,1,0.14285714285714285,0,0,26.923076923076923
"2018-12-19","GSW","UTA","37:00",78,32,7,12,0.5833333333333334,5,9,0.5555555555555556,0.5555555555555556,3,6,8,9,6,0.42857142857142855,0.42857142857142855,0.6,0.42857142857142855,0.49955000000000005,0.6904761904761905,0.7272727272727273,0,0,0,0,0,30.232558139534884
"2018-12-22","GSW","DAL","39:29",82,22,1,5,0.2,6,17,0.35294117647058826,0.35294117647058826,2,2,0,18,0,1,1,1,0.7727272727272727,0.5044227272727273,0.45454545454545453,0.4782608695652174,0,0,0,0,0,27.659574468085108
"2018-12-23","GSW","LAC","35:39",76,42,6,7,0.8571428571428571,6,15,0.4,0.4,12,4,8,6,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6818181818181818,0.5110750000000001,0.6818181818181818,0.7592592592592593,0,0,0,1,0.06666666666666667,30.681818181818183
"2018-12-25","GSW","LAL","36:48",80,15,3,9,0.3333333333333333,2,8,0.25,0.25,3,2,4,3,3,0.3333333333333333,0.3333333333333333,0.5,0.47058823529411764,0.4876029411764705,0.35294117647058826,0.4166666666666667,0,0,0,0,0,21.34831460674157
"2018-12-27","GSW","POR","41:38",90,29,5,11,0.45454545454545453,6,15,0.4,0.42857142857142855,1,8,2,18,0,0.8,0.8,1,0.5769230769230769,0.47275,0.5384615384615384,0.5370370370370371,0,1,0.09090909090909091,0,0,34
"2018-12-29","GSW","POR","36:11",72,25,4,7,0.5714285714285714,2,8,0.25,0.25,11,4,4,3,3,0.5,0.5,0.5,0.5333333333333333,0.50439,0.4666666666666667,0.575,0,0,0,0,0,28.94736842105263
"2018-12-31","GSW","PHX","31:53",71,34,6,8,0.75,5,9,0.5555555555555556,0.5555555555555556,7,8,4,6,9,0.6666666666666666,0.6666666666666666,0.4,0.5294117647058824,0.5677676470588234,0.7941176470588235,0.85,0,0,0,0,0,30.263157894736842
"2019-01-03","GSW","HOU","40:14",83,35,9,12,0.75,5,15,0.3333333333333333,0.35714285714285715,2,8,10,12,3,0.4444444444444444,0.4444444444444444,0.8,0.5555555555555556,0.5117038461538461,0.6111111111111112,0.6481481481481481,0,0,0,0,0,35.95505617977528
"2019-01-05","GSW","SAC","38:29",77,42,4,6,0.6666666666666666,10,20,0.5,0.5,4,4,4,21,9,0.5,0.5,0.7,0.7692307692307693,0.5157788461538462,0.7307692307692307,0.7777777777777778,0,0,0,0,0,37.5
